  1,864,906,036  99% - ...
        112,643   0%                                 - seed7-re-search-forward
          8,192   0%                                  - seed7-inside-comment-p
          8,192   0%                                   - syntax-ppss
          8,192   0%                                    - syntax-propertize
          8,192   0%                                       seed7-mode-syntax-propertize
         10,240   0%                                   seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          6,096   0%                                 - seed7--current-line-nth-word
          6,096   0%                                    thing-at-point
        102,680   0%                              - seed7-re-search-backward
         76,472   0%                               - run-with-timer
         76,472   0%                                - run-at-time
         37,288   0%                                 - timer-activate
         37,288   0%                                  - timer--activate
         37,288   0%                                     timer--time-less-p
         24,016   0%                                   timer-relative-time
         15,168   0%                                 - timer-set-time
         15,168   0%                                    timer--time-setter
         26,208   0%                                 re-search-backward
         32,760   0%                                replace-regexp-in-string
          3,048   0%                                match-string
        214,512   0%                            - seed7-line-inside-parens-pair-column
        214,512   0%                             - seed7-line-inside-parens-pair
        194,032   0%                              - seed7-re-search-backward
        168,432   0%                               - run-with-timer
        168,432   0%                                - run-at-time
         82,128   0%                                 - timer-activate
         82,128   0%                                  - timer--activate
         82,128   0%                                     timer--time-less-p
         52,896   0%                                   timer-relative-time
         33,408   0%                                 - timer-set-time
         33,408   0%                                    timer--time-setter
         25,600   0%                                 re-search-backward
         20,480   0%                              - forward-sexp
         20,480   0%                                 seed7--forward-sexp-function
        162,104   0%                            - seed7-line-is-defun-end
         85,240   0%                               looking-back
         76,864   0%                             - seed7-line-starts-with-any
         76,864   0%                                seed7-line-starts-with
        146,661   0%                            - seed7-line-inside-argument-list-section
         83,664   0%                             - seed7-re-search-backward
         60,432   0%                                re-search-backward
         23,232   0%                              - run-with-timer
         23,232   0%                               - run-at-time
         11,328   0%                                - timer-activate
         11,328   0%                                 - timer--activate
         11,328   0%                                    timer--time-less-p
          7,296   0%                                  timer-relative-time
          4,608   0%                                - timer-set-time
          4,608   0%                                   timer--time-setter
         62,997   0%                             - seed7-line-is-procfunc-beg-of-decl
         62,997   0%                                seed7-line-starts-with
         78,867   0%                            - seed7-line-inside-set-definition-block
         78,867   0%                             - seed7-re-search-backward
         43,560   0%                              - run-with-timer
         43,560   0%                               - run-at-time
         21,240   0%                                - timer-activate
         21,240   0%                                 - timer--activate
         21,240   0%                                    timer--time-less-p
         13,680   0%                                  timer-relative-time
          8,640   0%                                - timer-set-time
          8,640   0%                                   timer--time-setter
         35,307   0%                                re-search-backward
         70,440   0%                            - seed7-line-inside-array-definition-block
         70,440   0%                             - seed7-re-search-backward
         43,560   0%                              - run-with-timer
         43,560   0%                               - run-at-time
         21,240   0%                                - timer-activate
         21,240   0%                                 - timer--activate
         21,240   0%                                    timer--time-less-p
         13,680   0%                                  timer-relative-time
          8,640   0%                                - timer-set-time
          8,640   0%                                   timer--time-setter
         26,880   0%                                re-search-backward
         69,160   0%                            - seed7-line-inside-assign-statement-continuation
         69,160   0%                             - seed7-assign-op-pos
         69,160   0%                              - seed7-re-search-backward
         43,560   0%                               - run-with-timer
         43,560   0%                                - run-at-time
         21,240   0%                                 - timer-activate
         21,240   0%                                  - timer--activate
         21,240   0%                                     timer--time-less-p
         13,680   0%                                   timer-relative-time
          8,640   0%                                 - timer-set-time
          8,640   0%                                    timer--time-setter
         25,600   0%                                 re-search-backward
         64,176   0%                            - seed7-line-inside-logic-check-expression
         64,176   0%                             - seed7-to-previous-line-starts-with
         64,176   0%                              - seed7-re-search-backward
         40,944   0%                                 re-search-backward
         23,232   0%                               - run-with-timer
         23,232   0%                                - run-at-time
         11,328   0%                                 - timer-activate
         11,328   0%                                  - timer--activate
         11,328   0%                                     timer--time-less-p
          7,296   0%                                   timer-relative-time
          4,608   0%                                 - timer-set-time
          4,608   0%                                    timer--time-setter
         47,808   0%                            - seed7-line-inside-until-logic-expression
         47,808   0%                             - seed7-re-search-backward
         24,576   0%                                re-search-backward
         23,232   0%                              - run-with-timer
         23,232   0%                               - run-at-time
         11,328   0%                                - timer-activate
         11,328   0%                                 - timer--activate
         11,328   0%                                    timer--time-less-p
          7,296   0%                                  timer-relative-time
          4,608   0%                                - timer-set-time
          4,608   0%                                   timer--time-setter
         47,808   0%                            - seed7-line-inside-func-return-statement
         47,808   0%                             - seed7-re-search-backward
         24,576   0%                                re-search-backward
         23,232   0%                              - run-with-timer
         23,232   0%                               - run-at-time
         11,328   0%                                - timer-activate
         11,328   0%                                 - timer--activate
