  1,291,047,898  99% - ...
        112,800   0%                              - run-with-timer
        112,800   0%                               - run-at-time
         63,200   0%                                - timer-activate
         63,200   0%                                 - timer--activate
         63,200   0%                                    timer--time-less-p
         30,400   0%                                  timer-relative-time
         19,200   0%                                - timer-set-time
         19,200   0%                                   timer--time-setter
        336,693   0%                             - seed7--block-name
        325,461   0%                                seed7-re-search-forward
          3,048   0%                                match-string
        638,495   0%                            - seed7-re-search-backward-closest
        638,495   0%                             - seed7-re-search-backward
        390,335   0%                                re-search-backward
        248,160   0%                              - run-with-timer
        248,160   0%                               - run-at-time
        139,040   0%                                - timer-activate
        139,040   0%                                 - timer--activate
        139,040   0%                                    timer--time-less-p
         66,880   0%                                  timer-relative-time
         42,240   0%                                - timer-set-time
         42,240   0%                                   timer--time-setter
        130,944   0%                              match-string-no-properties
         79,528   0%                              match-string
      4,904,537   0%                           - seed7-line-starts-with-any
      4,904,537   0%                              seed7-line-starts-with
      3,116,835   0%                           - seed7--current-line-nth-word
      3,116,835   0%                            - thing-at-point
      2,287,419   0%                             - bounds-of-thing-at-point
      1,465,379   0%                              - #<byte-code-function FFA>
      1,464,936   0%                               - forward-thing
      1,464,936   0%                                  format
        769,296   0%                              - #<byte-code-function F8C>
        769,296   0%                               - forward-thing
        769,296   0%                                  format
         51,200   0%                                re-search-forward
          1,544   0%                                make-closure
        265,118   0%                           - seed7--safe-current-line-defun-start-indent
        265,118   0%                            - seed7-to-block-backward
        255,918   0%                             - seed7-re-search-backward
        151,014   0%                                re-search-backward
        104,904   0%                              - run-with-timer
        104,904   0%                               - run-at-time
         58,776   0%                                - timer-activate
         58,776   0%                                 - timer--activate
         58,776   0%                                    timer--time-less-p
         28,272   0%                                  timer-relative-time
         17,856   0%                                - timer-set-time
         17,856   0%                                   timer--time-setter
          9,200   0%                             - seed7--current-line-nth-word
          9,200   0%                              - thing-at-point
          8,184   0%                               - bounds-of-thing-at-point
          8,184   0%                                - #<byte-code-function BF0>
          8,184   0%                                 - forward-thing
          8,184   0%                                    format
     47,965,071   3%                          - seed7--current-line-nth-word
     47,965,071   3%                           - thing-at-point
     47,782,871   3%                            - bounds-of-thing-at-point
     47,519,823   3%                             - #<byte-code-function D34>
     47,519,823   3%                              - forward-thing
     46,889,655   3%                               - forward-word
     46,889,655   3%                                - internal--syntax-propertize
     46,889,655   3%                                 - syntax-propertize
     46,889,655   3%                                    seed7-mode-syntax-propertize
        630,168   0%                                 format
        253,704   0%                             - #<byte-code-function FEF>
        253,704   0%                              - forward-thing
        253,704   0%                                 format
          9,344   0%                               re-search-forward
     19,104,753   1%                          - seed7-line-inside-logic-check-expression
     18,054,695   1%                           - seed7-to-previous-line-starts-with
     17,506,367   1%                            - seed7-re-search-backward
      8,757,599   0%                               re-search-backward
      8,748,768   0%                             - run-with-timer
      8,748,768   0%                              - run-at-time
      4,901,792   0%                               - timer-activate
      4,901,792   0%                                - timer--activate
      4,901,792   0%                                   timer--time-less-p
      2,357,824   0%                                 timer-relative-time
      1,489,152   0%                               - timer-set-time
      1,489,152   0%                                  timer--time-setter
      1,050,040   0%                           - seed7--current-line-nth-word
      1,050,040   0%                            - thing-at-point
        924,792   0%                             - bounds-of-thing-at-point
        646,536   0%                              - #<byte-code-function 3C4>
        646,536   0%                               - forward-thing
        646,536   0%                                  format
        278,256   0%                              - #<byte-code-function 930>
        278,256   0%                               - forward-thing
        278,256   0%                                  format
             18   0%                             seed7-re-search-forward
     18,822,726   1%                          - seed7-line-inside-array-definition-block
     18,134,726   1%                           - seed7-re-search-backward
      9,233,694   0%                              re-search-backward
      8,901,032   0%                            - run-with-timer
      8,901,032   0%                             - run-at-time
      4,987,112   0%                              - timer-activate
      4,987,112   0%                               - timer--activate
      4,987,112   0%                                  timer--time-less-p
      2,398,848   0%                                timer-relative-time
      1,515,072   0%                              - timer-set-time
      1,515,072   0%                                 timer--time-setter
        688,000   0%                           - forward-sexp
        688,000   0%                              seed7--forward-sexp-function
     17,908,998   1%                          - seed7-line-inside-set-definition-block
     17,908,998   1%                           - seed7-re-search-backward
      9,007,950   0%                              re-search-backward
      8,901,048   0%                            - run-with-timer
      8,901,048   0%                             - run-at-time
      4,987,112   0%                              - timer-activate
      4,987,112   0%                               - timer--activate
      4,987,112   0%                                  timer--time-less-p
      2,398,864   0%                                timer-relative-time
      1,515,072   0%                              - timer-set-time
      1,515,072   0%                                 timer--time-setter
     17,192,152   1%                          - seed7-line-inside-assign-statement-continuation
     17,192,152   1%                           - seed7-assign-op-pos
     17,192,152   1%                            - seed7-re-search-backward
      8,901,048   0%                             - run-with-timer
      8,901,048   0%                              - run-at-time
      4,987,112   0%                               - timer-activate
      4,987,112   0%                                - timer--activate
      4,987,112   0%                                   timer--time-less-p
      2,398,864   0%                                 timer-relative-time
      1,515,072   0%                               - timer-set-time
      1,515,072   0%                                  timer--time-setter
      8,291,104   0%                               re-search-backward
     13,193,307   1%                          - seed7-line-inside-argument-list-section
      8,493,876   0%                           - seed7-re-search-backward
      4,791,796   0%                              re-search-backward
      3,702,080   0%                            - run-with-timer
      3,702,080   0%                             - run-at-time
      2,074,224   0%                              - timer-activate
      2,074,224   0%                               - timer--activate
      2,074,224   0%                                  timer--time-less-p
        997,712   0%                                timer-relative-time
        630,144   0%                              - timer-set-time
        630,144   0%                                 timer--time-setter
      4,607,271   0%                           - seed7-line-is-procfunc-beg-of-decl
      4,607,271   0%                              seed7-line-starts-with
         92,160   0%                           - forward-sexp
         92,160   0%                              seed7--forward-sexp-function
      9,570,153   0%                          - seed7--indent-search-boundary
         33,128   0%                           - seed7--indent-search-boundary-uncached
         26,756   0%                            - syntax-ppss
         18,574   0%                               #<byte-code-function 39F>
          8,182   0%                               syntax-table
          6,372   0%                              seed7-to-indent
      8,428,136   0%                            seed7-line-starts-with
      8,239,488   0%                          - seed7-line-after-func-return-logic-operator-column
         99,456   0%                           - seed7-move-to-line
         99,456   0%                              seed7-to-previous-non-empty-line
      8,213,680   0%                          - seed7-line-isa-string
      8,213,680   0%                             seed7-line-starts-with
      7,186,576   0%                          - seed7-line-inside-func-return-statement
      7,186,576   0%                           - seed7-re-search-backward
      3,707,736   0%                            - run-with-timer
      3,707,736   0%                             - run-at-time
      2,077,384   0%                              - timer-activate
      2,077,384   0%                               - timer--activate
      2,077,384   0%                                  timer--time-less-p
        999,248   0%                                timer-relative-time
        631,104   0%                              - timer-set-time
        631,104   0%                                 timer--time-setter
      3,478,840   0%                              re-search-backward
      7,183,888   0%                          - seed7-line-inside-until-logic-expression
      7,183,888   0%                           - seed7-re-search-backward
      3,707,736   0%                            - run-with-timer
      3,707,736   0%                             - run-at-time
      2,077,384   0%                              - timer-activate
      2,077,384   0%                               - timer--activate
      2,077,384   0%                                  timer--time-less-p
        999,248   0%                                timer-relative-time
        631,104   0%                              - timer-set-time
        631,104   0%                                 timer--time-setter
      3,476,152   0%                              re-search-backward
        408,564   0%                          - seed7-comment-column
        370,332   0%                           - seed7-calc-indent
         74,952   0%                            - seed7-line-inside-parens-pair-column
         74,952   0%                             - seed7-line-inside-parens-pair
         72,904   0%                              - seed7-re-search-backward
         68,808   0%                               - run-with-timer
         68,808   0%                                - run-at-time
         38,552   0%                                 - timer-activate
         38,552   0%                                  - timer--activate
         38,552   0%                                     timer--time-less-p
         18,544   0%                                   timer-relative-time
         11,712   0%                                 - timer-set-time
         11,712   0%                                    timer--time-setter
          4,096   0%                                 re-search-backward
