  6,881,923,517  98% - ...
         14,616   0%                             - seed7-line-inside-argument-list-section
         12,568   0%                              - seed7-re-search-backward
         10,952   0%                                 re-search-backward
          1,616   0%                               - run-with-timer
          1,616   0%                                - run-at-time
            624   0%                                 - timer-activate
            624   0%                                  - timer--activate
            624   0%                                     timer--time-less-p
            608   0%                                   timer-relative-time
            384   0%                                 - timer-set-time
            384   0%                                    timer--time-setter
          2,048   0%                              - seed7-line-is-procfunc-beg-of-decl
          2,048   0%                                 seed7-line-starts-with
          4,144   0%                               seed7--indent-search-boundary
          3,792   0%                             - seed7-line-inside-until-logic-expression
          3,792   0%                              - seed7-re-search-backward
          2,176   0%                                 re-search-backward
          1,616   0%                               - run-with-timer
          1,616   0%                                - run-at-time
            624   0%                                 - timer-activate
            624   0%                                  - timer--activate
            624   0%                                     timer--time-less-p
            608   0%                                   timer-relative-time
            384   0%                                 - timer-set-time
            384   0%                                    timer--time-setter
          3,664   0%                             - seed7-line-inside-logic-check-expression
