  2,170,186,132  99% - ...
         36,432   0%                                     timer--time-less-p
         13,984   0%                                   timer-relative-time
          8,832   0%                                 - timer-set-time
          8,832   0%                                    timer--time-setter
         52,709   0%                                 re-search-backward
         51,888   0%                              - run-with-timer
         51,888   0%                               - run-at-time
         29,072   0%                                - timer-activate
         29,072   0%                                 - timer--activate
         29,072   0%                                    timer--time-less-p
         13,984   0%                                  timer-relative-time
          8,832   0%                                - timer-set-time
          8,832   0%                                   timer--time-setter
        143,004   0%                             - seed7--block-name
        143,004   0%                                seed7-re-search-forward
        274,106   0%                            - seed7-re-search-backward-closest
        274,106   0%                             - seed7-re-search-backward
        165,818   0%                                re-search-backward
        108,288   0%                              - run-with-timer
        108,288   0%                               - run-at-time
         60,672   0%                                - timer-activate
         60,672   0%                                 - timer--activate
         60,672   0%                                    timer--time-less-p
         29,184   0%                                  timer-relative-time
         18,432   0%                                - timer-set-time
         18,432   0%                                   timer--time-setter
         16,368   0%                              match-string-no-properties
         16,312   0%                              match-string
      1,566,744   0%                           - seed7-move-to-line
      1,566,744   0%                            - seed7-to-previous-non-empty-line
          4,144   0%                             - seed7-inside-comment-p
          4,144   0%                              - syntax-ppss
          4,144   0%                                 make-closure
      1,260,788   0%                           - seed7-line-starts-with-any
      1,260,788   0%                              seed7-line-starts-with
        472,336   0%                           - seed7--current-line-nth-word
        472,336   0%                            - thing-at-point
        346,976   0%                             - bounds-of-thing-at-point
        171,864   0%                              - #<byte-code-function 6A6>
        171,864   0%                               - forward-thing
        171,864   0%                                  format
        139,128   0%                              - #<byte-code-function 074>
        139,128   0%                               - forward-thing
        139,128   0%                                  format
         23,552   0%                                re-search-forward
          8,288   0%                                make-closure
          4,144   0%                              - seq-some
          4,144   0%                                 make-closure
         92,457   0%                           - seed7--safe-current-line-defun-start-indent
         92,457   0%                            - seed7-to-block-backward
         91,441   0%                             - seed7-re-search-backward
         49,705   0%                                re-search-backward
         41,736   0%                              - run-with-timer
         41,736   0%                               - run-at-time
         23,384   0%                                - timer-activate
         23,384   0%                                 - timer--activate
         23,384   0%                                    timer--time-less-p
         11,248   0%                                  timer-relative-time
          7,104   0%                                - timer-set-time
          7,104   0%                                   timer--time-setter
          1,016   0%                             - seed7--current-line-nth-word
          1,016   0%                                thing-at-point
      6,376,017   0%                          - seed7-line-inside-array-definition-block
      6,376,017   0%                           - seed7-re-search-backward
      3,323,649   0%                              re-search-backward
      3,052,368   0%                            - run-with-timer
      3,052,368   0%                             - run-at-time
      1,710,192   0%                              - timer-activate
      1,710,192   0%                               - timer--activate
      1,710,192   0%                                  timer--time-less-p
        822,624   0%                                timer-relative-time
        519,552   0%                              - timer-set-time
        519,552   0%                                 timer--time-setter
      6,066,728   0%                          - seed7-line-inside-assign-statement-continuation
      6,062,584   0%                           - seed7-assign-op-pos
      6,062,584   0%                            - seed7-re-search-backward
      3,052,368   0%                             - run-with-timer
      3,052,368   0%                              - run-at-time
      1,710,192   0%                               - timer-activate
      1,710,192   0%                                - timer--activate
      1,710,192   0%                                   timer--time-less-p
        822,624   0%                                 timer-relative-time
        519,552   0%                               - timer-set-time
        519,552   0%                                  timer--time-setter
      3,010,216   0%                               re-search-backward
          4,144   0%                           - seed7-statement-end-pos
          4,144   0%                            - seed7-forward-char-pos
          4,144   0%                             - seed7-re-search-forward
          4,144   0%                                seed7-inside-string-p
      6,009,330   0%                          - seed7-line-inside-set-definition-block
      6,009,330   0%                           - seed7-re-search-backward
      3,056,512   0%                            - run-with-timer
      3,056,512   0%                             - run-at-time
      1,710,192   0%                              - timer-activate
      1,710,192   0%                               - timer--activate
      1,710,192   0%                                  timer--time-less-p
        822,624   0%                                timer-relative-time
        519,552   0%                              - timer-set-time
