  1,240,035,821  99% - ...
         75,072   0%                                   timer--time-setter
         69,480   0%                             - seed7--current-line-nth-word
         69,480   0%                              - thing-at-point
         49,104   0%                               - bounds-of-thing-at-point
         40,920   0%                                - #<byte-code-function EC2>
         40,920   0%                                 - forward-thing
         40,920   0%                                    format
          8,184   0%                                - #<byte-code-function D95>
          8,184   0%                                 - forward-thing
          8,184   0%                                    format
     74,844,632   6%                          - seed7--current-line-nth-word
     74,844,632   6%                           - thing-at-point
     74,692,688   5%                            - bounds-of-thing-at-point
     74,419,399   5%                             - #<byte-code-function 799>
     74,419,399   5%                              - forward-thing
     74,034,751   5%                               - forward-word
     74,034,751   5%                                - internal--syntax-propertize
     74,034,751   5%                                 - syntax-propertize
     74,020,709   5%                                    seed7-mode-syntax-propertize
          1,610   0%                                    #<byte-code-function 923>
        384,648   0%                                 format
        155,496   0%                             - #<byte-code-function 0ED>
        155,496   0%                              - forward-thing
        155,496   0%                                 format
        102,757   0%                               re-search-forward
          6,748   0%                             - seq-some
          4,144   0%                                make-closure
          4,144   0%                               make-closure
     42,096,517   3%                          - seed7-line-inside-argument-list-section
     26,202,253   2%                           - seed7-re-search-backward
     16,588,021   1%                              re-search-backward
      9,614,232   0%                            - run-with-timer
      9,614,232   0%                             - run-at-time
      4,613,080   0%                              - timer-activate
      4,613,080   0%                               - timer--activate
      4,613,080   0%                                  timer--time-less-p
      3,065,216   0%                                timer-relative-time
      1,935,936   0%                              - timer-set-time
      1,935,936   0%                                 timer--time-setter
     15,836,800   1%                           - seed7-line-is-procfunc-beg-of-decl
     15,836,800   1%                              seed7-line-starts-with
         57,464   0%                           - forward-sexp
         57,464   0%                              seed7--forward-sexp-function
     29,889,041   2%                          - seed7-line-inside-array-definition-block
     22,738,905   1%                           - seed7-re-search-backward
     12,512,365   1%                              re-search-backward
     10,213,728   0%                            - run-with-timer
     10,213,728   0%                             - run-at-time
      4,878,400   0%                              - timer-activate
      4,878,400   0%                               - timer--activate
      4,878,400   0%                                  timer--time-less-p
      3,264,960   0%                                timer-relative-time
      2,062,080   0%                              - timer-set-time
      2,062,080   0%                                 timer--time-setter
          8,288   0%                                timer-create
          8,288   0%                            - seed7-inside-comment-p
          4,144   0%                             - syntax-ppss
          4,144   0%                                make-closure
          4,524   0%                            - seed7-inside-string-p
            380   0%                               syntax-ppss
      7,150,136   0%                           - forward-sexp
      7,150,136   0%                              seed7--forward-sexp-function
     22,708,268   1%                          - seed7-line-inside-until-logic-expression
     20,540,924   1%                           - seed7-re-search-backward
     10,916,980   0%                              re-search-backward
      9,623,944   0%                            - run-with-timer
      9,623,944   0%                             - run-at-time
      4,616,824   0%                              - timer-activate
      4,616,824   0%                               - timer--activate
      4,616,824   0%                                  timer--time-less-p
      3,068,880   0%                                timer-relative-time
      1,938,240   0%                              - timer-set-time
      1,938,240   0%                                 timer--time-setter
      2,167,344   0%                           - seed7-line-code-ends-with
      2,163,200   0%                            - seed7-re-search-backward
      1,401,504   0%                             - run-with-timer
      1,401,504   0%                              - run-at-time
        668,240   0%                               - timer-activate
        668,240   0%                                - timer--activate
        668,240   0%                                   timer--time-less-p
        446,880   0%                                 timer-relative-time
        282,240   0%                               - timer-set-time
        282,240   0%                                  timer--time-setter
          4,144   0%                                 timer-create
        753,408   0%                               re-search-backward
          8,288   0%                             - seed7-inside-comment-p
          8,288   0%                              - syntax-ppss
          8,288   0%                                 make-closure
     22,268,970   1%                          - seed7-line-inside-set-definition-block
     22,191,146   1%                           - seed7-re-search-backward
     11,991,889   0%                              re-search-backward
     10,190,192   0%                            - run-with-timer
     10,190,192   0%                             - run-at-time
      4,875,056   0%                              - timer-activate
      4,875,056   0%                               - timer--activate
      4,875,056   0%                                  timer--time-less-p
      3,257,664   0%                                timer-relative-time
      2,057,472   0%                              - timer-set-time
      2,057,472   0%                                 timer--time-setter
          4,144   0%                              seed7-inside-comment-p
          4,144   0%                            - seed7-inside-string-p
          4,144   0%                             - syntax-ppss
          4,144   0%                                make-closure
            777   0%                              make-closure
         77,824   0%                           - forward-sexp
         77,824   0%                              seed7--forward-sexp-function
     21,797,868   1%                          - seed7-line-inside-logic-check-expression
     21,326,567   1%                           - seed7-to-previous-line-starts-with
     20,941,919   1%                            - seed7-re-search-backward
     11,271,889   0%                               re-search-backward
      9,665,472   0%                             - run-with-timer
      9,665,472   0%                              - run-at-time
      4,632,704   0%                               - timer-activate
      4,632,704   0%                                - timer--activate
      4,632,704   0%                                   timer--time-less-p
      3,079,520   0%                                 timer-relative-time
      1,944,960   0%                               - timer-set-time
      1,944,960   0%                                  timer--time-setter
          8,288   0%                                 timer-create
          4,144   0%                             - seed7-inside-string-p
          4,144   0%                              - syntax-ppss
          4,144   0%                                 make-closure
            414   0%                               seed7-inside-comment-p
        454,088   0%                           - seed7--current-line-nth-word
        449,944   0%                            - thing-at-point
        343,832   0%                             - bounds-of-thing-at-point
        220,968   0%                              - #<byte-code-function BE2>
        220,968   0%                               - forward-thing
        220,968   0%                                  format
        114,576   0%                              - #<byte-code-function 949>
        114,576   0%                               - forward-thing
        114,576   0%                                  format
          4,144   0%                                make-closure
         17,213   0%                           - seed7-re-search-forward
          8,288   0%                            - seed7-inside-comment-p
          8,288   0%                             - syntax-ppss
          8,288   0%                                make-closure
          4,144   0%                            - seed7-inside-string-p
          4,144   0%                             - syntax-ppss
          4,144   0%                                make-closure
     21,064,724   1%                          - seed7-line-inside-assign-statement-continuation
     21,064,724   1%                           - seed7-assign-op-pos
     21,064,724   1%                            - seed7-re-search-backward
     10,985,520   0%                               re-search-backward
     10,069,320   0%                             - run-with-timer
     10,069,320   0%                              - run-at-time
      4,818,168   0%                               - timer-activate
      4,818,168   0%                                - timer--activate
      4,818,168   0%                                   timer--time-less-p
      3,218,448   0%                                 timer-relative-time
      2,032,704   0%                               - timer-set-time
      2,032,704   0%                                  timer--time-setter
          5,740   0%                             - seed7-inside-string-p
          1,596   0%                              - syntax-ppss
          1,596   0%                                 #<byte-code-function 028>
          4,144   0%                             - seed7-inside-comment-p
          4,144   0%                              - syntax-ppss
          4,144   0%                                 make-closure
     20,609,442   1%                          - seed7-line-inside-func-return-statement
     20,589,938   1%                           - seed7-re-search-backward
     10,962,720   0%                              re-search-backward
      9,626,456   0%                            - run-with-timer
      9,626,456   0%                             - run-at-time
      4,616,200   0%                              - timer-activate
      4,616,200   0%                               - timer--activate
      4,616,200   0%                                  timer--time-less-p
      3,068,256   0%                                timer-relative-time
      1,937,856   0%                              - timer-set-time
      1,937,856   0%                                 timer--time-setter
