  6,213,940,273  99% - ...
      2,656,304   0%                                    make-closure
         32,792   0%                                    parse-partial-sexp
          3,875   0%                                    #<byte-code-function 07A>
            948   0%                                    syntax-table
     15,686,988   0%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
      3,978,906   0%                                - seed7-inside-line-indent-before-comment-p
         69,367   0%                                 - seed7-inside-comment-p
         52,791   0%                                  - syntax-ppss
         49,728   0%                                     make-closure
          3,063   0%                                     #<byte-code-function 29C>
          5,891   0%                                   seed7-to-indent
      3,692,386   0%                                - seed7-inside-comment-p
      2,436,754   0%                                 - syntax-ppss
      2,432,528   0%                                    make-closure
            806   0%                                    #<byte-code-function E7A>
      5,430,203   0%                                 seed7--end-regexp-for
      4,537,320   0%                               - seed7-inside-comment-p
      3,281,688   0%                                - syntax-ppss
      3,248,896   0%                                   make-closure
         32,792   0%                                   parse-partial-sexp
      3,131,889   0%                               - seed7-inside-line-indent-before-comment-p
         45,584   0%                                - seed7-inside-comment-p
         29,008   0%                                 - syntax-ppss
         29,008   0%                                    make-closure
         11,457   0%                                  seed7-to-indent
         97,800   0%                              - seed7-to-next-line-starts-with
         89,616   0%                               - seed7-re-search-forward
         24,864   0%                                - seed7-inside-comment-p
          8,288   0%                                 - syntax-ppss
          8,288   0%                                    make-closure
         20,720   0%                                - seed7-inside-string-p
         12,432   0%                                 - syntax-ppss
         12,432   0%                                    make-closure
         14,608   0%                              - seed7-re-search-forward-closest
         10,464   0%                               - seed7-re-search-forward
          4,144   0%                                - seed7-inside-string-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
          4,144   0%                                - seed7-inside-comment-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
    130,674,816   2%                            - seed7-re-search-backward
    103,653,924   1%                             - run-with-timer
    103,653,924   1%                              - run-at-time
     56,474,231   0%                               - timer-activate
     56,474,231   0%                                - timer--activate
     56,474,231   0%                                 - timer--time-less-p
          7,637   0%                                    timer--time
     26,214,387   0%                                 timer-relative-time
     17,185,401   0%                               - timer-set-time
     17,182,400   0%                                  timer--time-setter
      3,775,184   0%                                 timer-create
          4,721   0%                                 timer-set-function
     11,963,316   0%                             - seed7-inside-string-p
      2,100,956   0%                              - syntax-ppss
      2,088,576   0%                                 make-closure
      9,950,728   0%                               re-search-backward
      3,967,248   0%                             - seed7-inside-comment-p
      2,686,752   0%                              - syntax-ppss
      2,677,024   0%                                 make-closure
          9,728   0%                                 #<byte-code-function 047>
      1,139,600   0%                               make-closure
     49,195,286   0%                            - seed7-calc-indent
     22,936,429   0%                             - seed7-line-inside-parens-pair-column
     22,936,429   0%                              - seed7-line-inside-parens-pair
     22,912,877   0%                               - seed7-re-search-backward
     18,798,818   0%                                - run-with-timer
     18,798,818   0%                                 - run-at-time
      9,070,640   0%                                  - timer-activate
      9,070,640   0%                                   - timer--activate
      9,070,640   0%                                    - timer--time-less-p
          1,701   0%                                       timer--time
      5,193,570   0%                                    timer-relative-time
      3,490,320   0%                                  - timer-set-time
      3,490,320   0%                                     timer--time-setter
      1,044,288   0%                                    timer-create
      2,438,235   0%                                - seed7-inside-string-p
        556,859   0%                                 - syntax-ppss
        555,296   0%                                    make-closure
      1,110,592   0%                                - seed7-inside-comment-p
        737,632   0%                                 - syntax-ppss
        737,632   0%                                    make-closure
        548,336   0%                                  make-closure
         16,896   0%                                  re-search-backward
         23,552   0%                               - forward-sexp
         23,552   0%                                  seed7--forward-sexp-function
     16,568,407   0%                             - seed7-line-inside-a-block-cached
     16,568,407   0%                              - seed7-line-inside-a-block
     16,376,991   0%                               - seed7--safe-enclosing-block-bounds
     16,364,559   0%                                - seed7--block-end-pos-for
     16,325,327   0%                                 - seed7-to-block-forward
     16,232,707   0%                                  - seed7-end-of-defun
     16,085,003   0%                                   - seed7-top-block-name
     16,038,417   0%                                    - seed7--to-top
     15,970,097   0%                                     - seed7-re-search-backward
     12,346,193   0%                                      - run-with-timer
     12,346,193   0%                                       - run-at-time
      5,906,484   0%                                        - timer-activate
      5,906,484   0%                                         - timer--activate
      5,906,484   0%                                          - timer--time-less-p
            244   0%                                             timer--time
      3,456,692   0%                                          timer-relative-time
      2,357,088   0%                                        - timer-set-time
      2,357,088   0%                                           timer--time-setter
        625,744   0%                                          timer-create
            185   0%                                          timer-set-function
      2,415,952   0%                                      - seed7-inside-string-p
        348,096   0%                                       - syntax-ppss
        348,096   0%                                          make-closure
        783,216   0%                                      - seed7-inside-comment-p
        352,240   0%                                       - syntax-ppss
        352,240   0%                                          make-closure
        422,688   0%                                        make-closure
          2,048   0%                                        re-search-backward
         68,320   0%                                     - run-with-timer
         68,320   0%                                      - run-at-time
         32,432   0%                                       - timer-activate
         32,432   0%                                        - timer--activate
         32,432   0%                                           timer--time-less-p
         19,456   0%                                         timer-relative-time
         12,288   0%                                       - timer-set-time
         12,288   0%                                          timer--time-setter
          4,144   0%                                         timer-create
         42,442   0%                                    - seed7--block-name
         30,114   0%                                     - seed7-re-search-forward
         24,864   0%                                        seed7-inside-string-p
          8,184   0%                                       match-string
         97,328   0%                                   - seed7-re-search-backward
         68,320   0%                                    - run-with-timer
         68,320   0%                                     - run-at-time
         32,432   0%                                      - timer-activate
         32,432   0%                                       - timer--activate
         32,432   0%                                          timer--time-less-p
         19,456   0%                                        timer-relative-time
         12,288   0%                                      - timer-set-time
         12,288   0%                                         timer--time-setter
          4,144   0%                                        timer-create
         29,008   0%                                      seed7-inside-string-p
         22,536   0%                                   - seed7-re-search-forward
          4,144   0%                                    - seed7-inside-string-p
          4,144   0%                                     - syntax-ppss
          4,144   0%                                        make-closure
         44,384   0%                                  - seed7--current-line-nth-word
         44,384   0%                                   - thing-at-point
         36,200   0%                                    - bounds-of-thing-at-point
          8,288   0%                                       make-closure
          8,288   0%                                     - seq-some
          8,288   0%                                        make-closure
          8,184   0%                                     - #<byte-code-function 5DB>
          8,184   0%                                      - forward-thing
          8,184   0%                                         format
          7,296   0%                                       re-search-forward
         24,588   0%                                  - seed7-re-search-forward
          8,288   0%                                   - seed7-inside-comment-p
          4,144   0%                                    - syntax-ppss
          4,144   0%                                       make-closure
         15,360   0%                                    seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          8,288   0%                                  - seed7-inside-line-indent-before-comment-p
          4,144   0%                                     seed7-inside-comment-p
         15,504   0%                                 - seed7-re-search-forward-closest
         11,360   0%                                  - seed7-re-search-forward
          4,144   0%                                     seed7-inside-string-p
          4,144   0%                                   - seed7-inside-comment-p
          4,144   0%                                    - syntax-ppss
          4,144   0%                                       make-closure
          6,192   0%                                 - seed7-to-next-line-starts-with
          6,192   0%                                  - seed7-re-search-forward
          4,144   0%                                     seed7-inside-comment-p
        148,096   0%                               - seed7-re-search-backward
         85,440   0%                                - run-with-timer
         85,440   0%                                 - run-at-time
         43,776   0%                                  - timer-activate
         43,776   0%                                   - timer--activate
         43,776   0%                                      timer--time-less-p
         25,536   0%                                    timer-relative-time
         16,128   0%                                  - timer-set-time
         16,128   0%                                     timer--time-setter
         33,152   0%                                - seed7-inside-string-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
         21,216   0%                                  re-search-backward
          4,144   0%                                - seed7-inside-comment-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
          4,144   0%                                  make-closure
         30,888   0%                                 replace-regexp-in-string
      9,012,208   0%                             - seed7-line-is-defun-end
      8,103,162   0%                              - seed7-end-of-defun
      7,801,024   0%                               - seed7-top-block-name
      7,801,024   0%                                - seed7--to-top
      7,768,264   0%                                 - seed7-re-search-backward
      6,172,824   0%                                  - run-with-timer
      6,172,824   0%                                   - run-at-time
      3,020,472   0%                                    - timer-activate
      3,020,472   0%                                     - timer--activate
      3,020,472   0%                                        timer--time-less-p
      1,670,480   0%                                      timer-relative-time
      1,162,784   0%                                    - timer-set-time
      1,162,784   0%                                       timer--time-setter
        319,088   0%                                      timer-create
      1,060,864   0%                                  - seed7-inside-string-p
        120,176   0%                                   - syntax-ppss
        120,176   0%                                      make-closure
        323,232   0%                                  - seed7-inside-comment-p
        116,032   0%                                   - syntax-ppss
        116,032   0%                                      make-closure
        211,344   0%                                    make-closure
         32,760   0%                                 - run-with-timer
         32,760   0%                                  - run-at-time
          9,912   0%                                   - timer-activate
          9,912   0%                                    - timer--activate
          9,912   0%                                       timer--time-less-p
          8,288   0%                                     timer-create
          8,176   0%                                   - timer-set-time
          8,176   0%                                      timer--time-setter
          6,384   0%                                     timer-relative-time
        213,122   0%                               - seed7-re-search-forward
        128,464   0%                                - seed7-inside-string-p
         12,432   0%                                 - syntax-ppss
         12,432   0%                                    make-closure
         70,322   0%                                - seed7-inside-comment-p
         45,458   0%                                 - syntax-ppss
         28,882   0%                                  - syntax-propertize
         28,882   0%                                     seed7-mode-syntax-propertize
         16,576   0%                                    make-closure
         40,920   0%                                 match-string-no-properties
         20,328   0%                               - seed7-re-search-backward
         20,328   0%                                - run-with-timer
         20,328   0%                                 - run-at-time
          9,912   0%                                  - timer-activate
          9,912   0%                                   - timer--activate
          9,912   0%                                      timer--time-less-p
          6,384   0%                                    timer-relative-time
          4,032   0%                                  - timer-set-time
          4,032   0%                                     timer--time-setter
          8,184   0%                                 match-string
        671,394   0%                              - seed7-beg-of-defun
        505,765   0%                               - seed7-re-search-backward
        384,656   0%                                - run-with-timer
        384,656   0%                                 - run-at-time
        184,032   0%                                  - timer-activate
        184,032   0%                                   - timer--activate
        184,032   0%                                      timer--time-less-p
        105,184   0%                                    timer-relative-time
         78,864   0%                                  - timer-set-time
         78,864   0%                                     timer--time-setter
         16,576   0%                                    timer-create
         74,592   0%                                - seed7-inside-string-p
         12,432   0%                                 - syntax-ppss
         12,432   0%                                    make-closure
         20,720   0%                                  make-closure
         17,509   0%                                  re-search-backward
          8,288   0%                                - seed7-inside-comment-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
         45,729   0%                               - seed7-top-block-name
         25,376   0%                                - seed7--to-top
         14,456   0%                                 - seed7-re-search-backward
          7,680   0%                                    re-search-backward
          6,776   0%                                  - run-with-timer
          6,776   0%                                   - run-at-time
          3,304   0%                                    - timer-activate
          3,304   0%                                     - timer--activate
          3,304   0%                                        timer--time-less-p
          2,128   0%                                      timer-relative-time
          1,344   0%                                    - timer-set-time
          1,344   0%                                       timer--time-setter
         10,920   0%                                 - run-with-timer
         10,920   0%                                  - run-at-time
          7,448   0%                                   - timer-activate
          7,448   0%                                    - timer--activate
          7,448   0%                                       timer--time-less-p
          2,128   0%                                     timer-relative-time
          1,344   0%                                   - timer-set-time
          1,344   0%                                      timer--time-setter
         20,353   0%                                - seed7--block-name
         20,353   0%                                   seed7-re-search-forward
         45,002   0%                               - seed7-re-search-backward-closest
         45,002   0%                                - seed7-re-search-backward
         23,162   0%                                   re-search-backward
         13,552   0%                                 - run-with-timer
         13,552   0%                                  - run-at-time
          6,608   0%                                   - timer-activate
          6,608   0%                                    - timer--activate
          6,608   0%                                       timer--time-less-p
          4,256   0%                                     timer-relative-time
          2,688   0%                                   - timer-set-time
          2,688   0%                                      timer--time-setter
          8,288   0%                                   make-closure
          8,184   0%                                 match-string
         99,972   0%                              - seed7-line-starts-with-any
         99,972   0%                                 seed7-line-starts-with
         82,880   0%                              - seed7--indent-search-boundary-uncached
         82,880   0%                               - syntax-ppss
         82,880   0%                                  make-closure
         37,088   0%                              - seed7--current-line-nth-word
         37,088   0%                               - thing-at-point
